id;name;description;serviceUrl;inputParams;outputField;destination
9b8e8929-3e3c-4d3b-8567-27e1f4865001;Sum;Sum 2 or more values;;["Value1","Value2"];;
9b8e8929-3e3c-4d3b-8567-27e1f4865002;Concatenate;Concatenate 2 or more strings;;["String1","String2"];;
9b8e8929-3e3c-4d3b-8567-27e1f4865003;Uppercase;Convert to Uppercase;;[];;
9b8e8929-3e3c-4d3b-8567-27e1f4865004;Lowercase;Convert to Lowercase;;[];;
9b8e8929-3e3c-4d3b-8567-27e1f4865005;Multiply;Multiply 2 or more values;;["Value1","Value2"];;
9b8e8929-3e3c-4d3b-8567-27e1f4865006;Divide;Divide two numbers;;["Numerator","Denominator"];;
9b8e8929-3e3c-4d3b-8567-27e1f4865007;Subtract;Subtract two or more numbers;;["Minuend","Subtrahend"];;
9b8e8929-3e3c-4d3b-8567-27e1f4865008;GetCompanyCode;Get Company Code from Invoice Context;;[];;
9b8e8929-3e3c-4d3b-8567-27e1f4865010;Constant;Return a constant value;;["Value"];;
9b8e8929-3e3c-4d3b-8567-27e1f4865011;IfThenElse;Conditional Logic (If A op B Then X Else Y);;["ConditionLeft","Operator","ConditionRight","ThenValue","ElseValue"];;
9b8e8929-3e3c-4d3b-8567-27e1f4865012;GenerateProgressive;Generate Progressive Number (00001) based on Item Index;;["Length"];;
9b8e8929-3e3c-4d3b-8567-27e1f4865013;Substring;Extract a substring value;;["String","Length"];;
9b8e8929-3e3c-4d3b-8567-27e1f4865014;GetCurrentDate;Get Current Date (Today);;[];;
9b8e8929-3e3c-4d3b-8567-27e1f4865015;SwitchCase;Conditional Logic (Input matches Case Result Else Default);;["Input","Cases","DefaultValue"];;
9b8e8929-3e3c-4d3b-8567-27e1f4865016;RoundDecimals;Round a numeric value to a specified number of decimal places;;["Value","Decimals"];;
9b8e8929-3e3c-4d3b-8567-27e1f4865017;FormatDate;Format a date value to a specified pattern (default YYYY-MM-DD);;["Value","Format","InputLocale"];;
9b8e8929-3e3c-4d3b-8567-27e1f4865018;ExistsGroup;Check if a grouping (FieldType) has data;;["GroupName"];;
9b8e8929-3e3c-4d3b-8567-27e1f4865019;SubstringRegex;Extract a substring value using a regular expression;;["String","Pattern"];;
9b8e8929-3e3c-4d3b-8567-27e1f4865020;GetGLAccount;Get GL Account based on input value;;["Input"];;
9b8e8929-3e3c-4d3b-8567-27e1f4865021;Conditions;Evaluate an input value against an array of conditional rules sequentially and return the matching Then value, or DefaultValue if none match;;["Input","Conditions","DefaultValue"];;
0bf14be7-218f-400e-9116-0a2409948dec;GetTaxCodeFI;Function for get tax code for scenario FI;/sap/opu/odata/sap/ZFIN_APINVOICE_SRV/GetTaxCodeFiSet?$filter=Country eq '{country}' and TaxRate eq '{taxRate}';{\"country\":\"country\",\"taxRate\":\"percentage number of tax\"};TaxCode;SAP-1C
0f633110-c86e-4f72-b3eb-4fd18849e7aa;GetPaymentTermsFromPO;Get Payment Terms code from Purchase order number;/sap/opu/odata/sap/ZFIN_APINVOICE_SRV/HelpPayTermsSet?$filter=Ebeln eq '{purchaseOrder}';{\"purchaseOrder\":\"purchase order number\"};Zterm;SAP-1C
3a781e7a-98b1-490b-94d8-dd3ad04a1263;GetDays;Get number of days from Payment terms code;/sap/opu/odata/sap/ZFIN_APINVOICE_SRV/BaselineDtSet?$filter=Zterm eq '{paymentTerms}';{\"paymentTerms\":\"Code of payment terms\"};Ztag1;SAP-1C
3e79bd04-c2e4-4ec8-a7e5-a4f4690d27d4;GetPaymentBlock;Get if there is a payment block;/sap/opu/odata/sap/ZFIN_APINVOICE_SRV/PmntBlockSet?$filter=Bukrs eq '{bukrs}' and Lifnr eq '{lifnr}';{\"bukrs\":\"Company code\",\"lifnr\":\"Vendor code in SAP\"};Zahls;SAP-1C
3f345c74-d12f-4265-a3f1-27e96eff859c;GetSinglePOItem;Get PO Item from PO and Descriptio;/sap/opu/odata/sap/ZFIN_APINVOICE_SRV/GetPoItemSet?$filter=RefDoc eq '{PONumber}' and ShortText eq '{shortDescr}';{\"PONumber\":\"Purchase Order number\",\"shortDescr\":\"35 characters for description\"};PoItem;SAP-1C
42a8162f-14b0-412d-a1c5-64ae5c0f2212;GetVendorFromPIVA;Get Vendor code in SAP from tax id and company code;/sap/opu/odata/sap/ZFIN_APINVOICE_SRV/HelpFornitoreSet?$filter=Taxnum eq '{piva}' and Bukrs eq '{compCode}';{\"piva\":\"Tax id of Vendor\",\"compCode\":\"Company Code\"};Partner;SAP-1C
5fbaf50a-2591-48e9-a269-c927936fa8d1;GetVendorName;Vendor name from vendor code;/sap/opu/odata/sap/ZFIN_APINVOICE_SRV/GetVendorDescSet?$filter=Lifnr eq '{vendorCode}' ;{\"vendorCode\":\"SAP Vendor Code\"};Description;SAP-1C
